id,split,n_occupied,x_min_n,x_max_n,y_min_n,y_max_n,z_min_n,z_max_n,x_extent_n,y_extent_n,z_extent_n
COMMERCIALcastle_mesh0365,train,779,-0.3650793433189392,0.365079402923584,-0.7460317611694336,0.7142858505249023,-0.39682537317276,0.4285714626312256,0.7301587462425232,1.460317611694336,0.8253968358039856
COMMERCIALcastle_mesh0904,train,1200,-0.3015872836112976,0.3333333730697632,-0.7460317611694336,0.7142858505249023,-0.6190475821495056,0.6507937908172607,0.6349206566810608,1.460317611694336,1.2698414325714111
COMMERCIALcastle_mesh2985,train,5621,-0.682539701461792,0.7142858505249023,-0.7460317611694336,0.777777910232544,-0.7460317611694336,0.777777910232544,1.3968255519866943,1.5238096714019775,1.5238096714019775
COMMERCIALchurch_mesh3158,train,627,-0.3333333134651184,0.365079402923584,-0.7460317611694336,0.7460318803787231,-0.2698412537574768,0.3015873432159424,0.6984127163887024,1.4920636415481567,0.5714285969734192
COMMERCIALcity_hall_mesh0106,val,2080,-0.5873015522956848,0.4285714626312256,-0.23809516429901123,0.17460322380065918,-0.7460317611694336,0.3333333730697632,1.0158729553222656,0.4126983880996704,1.0793651342391968
COMMERCIALcity_hall_mesh0258,train,2386,-0.682539701461792,0.777777910232544,-0.047618985176086426,0.07936513423919678,-0.4920634627342224,0.3333333730697632,1.460317611694336,0.1269841194152832,0.8253968358039856
COMMERCIALcity_hall_mesh0527,train,352,-0.7142857313156128,0.6825398206710815,-0.3015872836112976,0.3333333730697632,-0.5238094925880432,0.5555557012557983,1.3968255519866943,0.6349206566810608,1.0793652534484863
COMMERCIALfactory_mesh1454,train,15087,-0.4920634627342224,0.5238096714019775,-0.20634913444519043,0.23809528350830078,-0.7460317611694336,0.777777910232544,1.0158731937408447,0.4444444179534912,1.5238096714019775
COMMERCIALhotel_building_mesh0075,train,40318,-0.682539701461792,0.6825398206710815,-0.5873015522956848,0.6190477609634399,-0.6507936716079712,0.7460318803787231,1.3650795221328735,1.2063493728637695,1.3968255519866943
COMMERCIALhotel_building_mesh0130,train,12889,-0.5873015522956848,0.6190477609634399,-0.39682537317276,0.4285714626312256,-0.7460317611694336,0.777777910232544,1.2063493728637695,0.8253968358039856,1.5238096714019775
COMMERCIALhotel_building_mesh0139,train,3434,-0.3333333134651184,0.4603174924850464,-0.7460317611694336,0.777777910232544,-0.39682537317276,0.4285714626312256,0.7936508059501648,1.5238096714019775,0.8253968358039856
COMMERCIALhotel_building_mesh0162,test,266,-0.555555522441864,0.5873017311096191,-0.4285714030265808,0.4603174924850464,-0.7142857313156128,0.777777910232544,1.142857313156128,0.8888888955116272,1.4920636415481567
COMMERCIALhotel_building_mesh0215,train,5647,-0.6507936716079712,0.777777910232544,-0.3015872836112976,0.3333333730697632,-0.39682537317276,0.3968254327774048,1.4285715818405151,0.6349206566810608,0.7936508059501648
COMMERCIALhotel_building_mesh0295,train,7316,-0.7142857313156128,0.777777910232544,-0.39682537317276,0.4285714626312256,-0.3650793433189392,0.365079402923584,1.4920636415481567,0.8253968358039856,0.7301587462425232
COMMERCIALhotel_building_mesh0302,train,159,-0.7142857313156128,0.6507937908172607,-0.17460310459136963,0.11111116409301758,-0.7460317611694336,0.6825398206710815,1.3650795221328735,0.2857142686843872,1.4285715818405151
COMMERCIALhotel_building_mesh0328,train,4007,-0.6507936716079712,0.777777910232544,-0.39682537317276,0.3968254327774048,-0.7142857313156128,0.5555557012557983,1.4285715818405151,0.7936508059501648,1.2698414325714111
COMMERCIALhotel_building_mesh0461,train,251,-0.7460317611694336,0.777777910232544,-0.2698412537574768,0.365079402923584,-0.5873015522956848,0.4920635223388672,1.5238096714019775,0.6349206566810608,1.0793650150299072
